,SPAGCN,DeepST,GraphST,SEDR,Spacross,STELLAR,STransfer
151507,0.423490185,0.51164251,0.424957481,0.451532778,0.439,0.078614717,0.625633861
151508,0.378137597,0.439597922,0.491847103,0.38282642,0.496537708,0.027365145,0.646950605
151509,0.413062221,0.479631424,0.386265735,0.359660009,0.44555772,0.056853421,0.395183605
151510,0.397461676,0.453297632,0.434265425,0.221853639,0.455834386,0.042195436,0.777648931
151669,0.210185232,0.364932457,0.378693043,0.226206912,0.292973027,0.00398079,0.851636019
151670,0.208495576,0.267422114,0.351762726,0.170126118,0.380552167,-0.019398971,0.867604934
151671,0.43315918,0.395532359,0.573376717,0.286024373,0.46411371,0.014666867,0.46864305
151672,0.347905004,0.416903292,0.601132542,0.362369608,0.434772043,0.016032847,0.778223776
151673,0.461128361,0.514615351,0.592523566,0.36629234,0.560228575,0.184031004,0.712520641
151674,0.384761278,0.550996564,0.631118677,0.29291414,0.659675113,0.206956635,0.697549717
151675,0.363375546,0.455103674,0.577187771,0.39388606,0.421675477,0.176819568,0.444328413
151676,0.325388614,0.490926751,0.545682854,0.210210096,0.493966259,0.152002072,0.385264666
avg,0.362212539,0.445050171,0.499067804,0.310325208,0.310325208,0.637599018,0.637599018
