,SPAGCN,DeepST,GraphST,SEDR,Spacross,STELLAR,STransfer
151507,0.577114428,0.680407486,0.524520256,0.622601279,0.625,0.293058517,0.68869936
151508,0.521113901,0.624514951,0.621091075,0.587537092,0.622890545,0.217073727,0.767632961
151509,0.614661654,0.668546366,0.549081036,0.525689223,0.623763879,0.319966583,0.54
151510,0.586507073,0.599564744,0.631338411,0.439173014,0.633476971,0.288792165,0.853101197
151669,0.408415842,0.592409241,0.620187019,0.394664466,0.476119792,0.379812981,0.902090209
151670,0.386050517,0.540470723,0.617680827,0.448622273,0.542965197,0.360792193,0.901549943
151671,0.515269973,0.592230638,0.722452968,0.491815294,0.639265779,0.268995847,0.660395798
151672,0.516203704,0.559927984,0.707561728,0.497685185,0.609859521,0.30941358,0.872170782
151673,0.641096649,0.672943783,0.732761008,0.564663528,0.682510499,0.432013293,0.839102742
151674,0.543603851,0.679504814,0.746905089,0.462173315,0.722774268,0.458321871,0.822833563
151675,0.483174425,0.598710039,0.706674145,0.550476725,0.636016044,0.361189007,0.581
151676,0.477703294,0.660448849,0.697755756,0.464004663,0.620325094,0.363450889,0.564
avg,0.522576276,0.622473302,0.656500777,0.504092172,0.504092172,0.504092172,0.749381379
